Date,GD=F,^GSPC,^IXIC
2015-05-22,442.0,2126.06005859375,5089.35986328125
2015-05-26,432.79998779296875,2104.199951171875,5032.75
2015-05-27,427.0,2123.47998046875,5106.58984375
2015-05-28,429.29998779296875,2120.7900390625,5097.97998046875
2015-05-29,438.75,2107.389892578125,5070.02978515625
2015-06-01,439.0,2111.72998046875,5082.93017578125
2015-06-02,444.0,2109.60009765625,5076.52001953125
2015-06-03,436.0,2114.070068359375,5099.22998046875
2015-06-04,429.0,2095.840087890625,5059.1201171875
2015-06-05,433.0,2092.830078125,5068.4599609375
2015-06-08,431.0,2079.280029296875,5021.6298828125
2015-06-09,441.0,2080.14990234375,5013.8701171875
2015-06-10,445.5,2105.199951171875,5076.68994140625
2015-06-11,441.0,2108.860107421875,5082.509765625
2015-06-12,435.70001220703125,2094.110107421875,5051.10009765625
2015-06-15,432.54998779296875,2084.429931640625,5029.97021484375
2015-06-16,436.0,2096.2900390625,5055.5498046875
2015-06-17,436.3999938964844,2100.43994140625,5064.8798828125
2015-06-18,437.6499938964844,2121.239990234375,5132.9501953125
2015-06-19,432.0,2109.989990234375,5117.0
2015-06-22,433.6499938964844,2122.85009765625,5153.97021484375
2015-06-23,439.20001220703125,2124.199951171875,5160.08984375
2015-06-24,434.79998779296875,2108.580078125,5122.41015625
2015-06-25,434.6499938964844,2102.31005859375,5112.18994140625
2015-06-26,435.6499938964844,2101.489990234375,5080.509765625
2015-06-29,431.95001220703125,2057.639892578125,4958.47021484375
2015-06-30,441.0,2063.110107421875,4986.8701171875
2015-07-01,431.79998779296875,2077.419921875,5013.1201171875
2015-07-02,432.8500061035156,2076.780029296875,5009.2099609375
2015-07-06,411.5,2068.760009765625,4991.93994140625
2015-07-07,410.3999938964844,2081.340087890625,4997.4599609375
2015-07-08,409.04998779296875,2046.6800537109375,4909.759765625
2015-07-09,415.8500061035156,2051.31005859375,4922.39990234375
2015-07-10,415.54998779296875,2076.6201171875,4997.7001953125
2015-07-13,413.3999938964844,2099.60009765625,5071.509765625
2015-07-14,414.8999938964844,2108.949951171875,5104.89013671875
2015-07-15,407.20001220703125,2107.39990234375,5098.93994140625
2015-07-16,405.75,2124.2900390625,5163.18017578125
2015-07-17,404.70001220703125,2126.639892578125,5210.14013671875
2015-07-20,399.6000061035156,2128.280029296875,5218.85986328125
2015-07-21,400.8500061035156,2119.2099609375,5208.1201171875
2015-07-22,395.54998779296875,2114.14990234375,5171.77001953125
2015-07-23,390.3999938964844,2102.14990234375,5146.41015625
2015-07-24,387.0,2079.64990234375,5088.6298828125
2015-07-27,380.3500061035156,2067.639892578125,5039.77978515625
